 AGRALE,,,,,,,,,
D5 SERIE 46X1-UP,H2033,P5054,,J3085,J3100,K4044(DH),,,
,,,,,,K4044(DH),,,
D4 SERIE 39A. 40A. 78A. 85A. 86A. 22C,T2040,Z5059,,J3103,J3104,,,,
D4 SERIE 82J3256,H2033,P5054,,J3101,J3102,K4044(TH),,,
D4 SERIE 27X1-UP. 28X1-UP,H2033,P5054,,J3101,J3102,K4044(TH),,,
D3  SERIE 79U1-UP,H2088,P5023,,J3067,J3105,,,,
D3 SERIE 28Y1-UP,H2088,P5023,,J3067,J3105,K4044(DH),,,
950 F,,,,,,K4118(TH),,,
988A SERIE 87A 1-9074. 87A 9075-UP,T2042,Z5059,,J3106,J3107,(2) K4005(HI),,,
,,,,,,K4005(DH),,,
,,,,,,K4005(TH),,,
988 B SERIE 50W1-UP,(2) H2044,P5060,,J3108,J3109,(2) K4046(HI),,,
,,,,,,K4044(TH),,,
983  SERIE 38K1-UP,(2)T2042,(2) P5054,,J3110,J3111,(3) K4005(HI),,,
,,,,,,(2) K4005(TH),,,
980 SERIE 42H1-UP,(3) T2040,Z5059,,J3085,J3100,(2) K4005(HI),,,
,,,,,,K4044(TH),,,
980 SERIE 89P4784-UP,H2033,P5054,,J3096,J3097,(2) K4005 (HI),,,
,,,,,,K4044(TH),,,
980 SERIE 63X1-UP,H2044,P5060,,J3096,J3097,(4) K4032(HI),,,
,,,,,,(2) K4044(TH),,,
CATERPILLAR (Continuación),,,,,,,,,
977 SERIE 53  A,(2)T2040,Z5059,,J3023,,K4005(HI),,,
,,,,,,K4039(TH),,,
,,,,,,K4047(DH),,,
977 SERIE 11K 4071-UP,H2033,P5054,,J3106,J3107,(2) K4005(HI),,,
,,,,,,K4005(TH),,,
966 SERIE 33A. 75A,(2)T2040,Z5059,,J3085,J3100,K4005(HI),,,
,,,,,,K4039(TH),,,
966 SERIE 99 Y 1-UP,H2033,P5054,,J3085,J3086,(4) K4032(HI),,,
,,,,,,K4044(TH),,,
955 SERIE 12A 8260-UP,T2040,(8) Z5061,,J3103,J3104,K4005(HI),,,
955 SERIE 85J1-4729. 85J4732. 33  y 37,T2040,P5054,,J3085,J3100,K4005(HI),,,
,,,,,,K4044(TH),,,
,,,,,,K4039(DH),,,
955 SERIE 13X1-UP,H2033,P5054,,J3085,J3100,(2)K4032(HI),,,
,,,,,,K4044(TH),,,
,,,,,,K4044(DH),,,
951 SERIE 79H,T2040,P5054,,J3101,J3102,(2)K4045(HI),,,
,,,,,,K4044(TH),,,
,,,,,,K4039(DH),,,
951 SERIE 86J 2598-4041. 86J4042-UP,H2033,P5054,,J3101,J3102,(2) K4045,,,
,,,,,,K4044(TH),,,
,,,,,,K4039(DH),,,
950 SERIE 90A,T2040,Z5059,,J3101,J3102,(2) K4005(HI),,,
,,,,,,K4044(TH),,,
950 SERIE 81J5411-UP,H2033,P5054,,J3101,J3102,(2) K4005(HI),,,
,,,,,,K4039(TH),,,
950 SERIE 31R1-UP. 22Z1-UP,H2033,P5054,,J3085,J3086,(2) K4032(HI),,,
,,,,,,K4033(TH),,,
941 SERIE 80H1-3085. 80H3087,T2040,P5054,,J3101,J3102,(2) K4045(HI),,,
,,,,,,K4044(TH),,,
931 SERIE 78 U1-UP,H2088,P5023,,J3067,J3105,K4044(HI),,,
931 SERIE 10 N1-UP,H2088,P5023,,J3067,J3105,K4044(HI),,,
930 SERIE 41K1-2326,T2040,P5054,,J3101,J3102,K4005(HI),,,
,,,,,,K4044(TH),,,
930 SERIE 41K2327-3207-3208-5314,H2033,P5054,,J3101,J3102,K4005(HI),,,
,,,,,,K4044(TH),,,
924 Topadora,,P5119,,,,,,,
910 SERIE 80V1-UP,H2088,P5023,,J3067,J3105,K4044(HI),,,
825 SERIE 43N1-493,(2) T2042,(2) P5054,,J3106,J3107,(2) K4005(HI),,,
,,,,,,K4005(TH),,,
825 SERIE 43N494-UP,(2) T2042,(2) P5054,,J3106,J3107,K4005(HI),,,
,,,,,,K4005(TH),,,
815 SERIE 91P1,T2040,P5054,,J3106,J3107,(2) K4005(HI),,,
,,,,,,K4044(TH),,,
815 SERIE 91P 920-UP (ESC. 91P25),H2033,P5054,,J3085,J3100,(2) K4005(HI),,,
,,,,,,K4004(TH),,,
633  SERIE 44J-UP. 66M1-781,(2) T2042,P5054,,J3106,J3107,(2) K4005(HI),,,
,,,,,,K4005(TH),,,
633  SERIE 66 M782-UP,(2) T2042,P5054,,J3110,J3111,(2) K4046(HI),,,
,,,,,,K4044(TH),,,
631 SERIE 13G1-UP,(2) T2042,Z5059,,J3106,J3107,(2) K4005(HI),,,
,,,,,,K4005(TH),,,
631 SERIE 24W1-UP,(2) H2044,P5060,,J3108,J3109,(3) K4045(HI),,,
,,,,,,K4044(TH),,,
Nº 16 SERIE 49 G1-UP,(2) T2040,Z5059,,J3085,J3100,K4045(HI),,,
,,,,,,K4044(TH),,,
Nº 16 SERIE 93U1-UP,H2044,P5060,,J3096,J3097,(2) K4044(HI),,,
,,,,,,K4044(TH),,,
Nº 14 SERIE 99G,(2) T2040,Z5059,,J3106,J3107,K4048(HI),,,
,,,,,,K4048(TH),,,
Nº 14 SERIE 96U1-UP,H2033,P5054,,J3085,J3086,K4044(HI),,,
,,,,,,K4044(TH),,,
Nº 12 SERIE 99E,T2040,P5054,,J3101,J3102,K4048(TH),,,
,,,,,,K4048(DH),,,
Nº 12 SERIE 13K1-4567,T2040,P5054,,J3085,J3100,K4048(HI),,,
,,,,,,,,,
