"vehiculo","filtro","created_at","updated_at"
29,350,"2013-04-28 18:08:46","2013-04-28 18:08:46"
18,350,"2013-04-28 18:09:10","2013-04-28 18:09:10"
29,350,"2013-04-28 18:09:11","2013-04-28 18:09:11"
30,350,"2013-04-28 18:09:11","2013-04-28 18:09:11"
101,350,"2013-04-28 18:09:31","2013-04-28 18:09:31"
114,350,"2013-04-28 18:09:32","2013-04-28 18:09:32"
806,350,"2013-04-28 18:26:43","2013-04-28 18:26:43"
807,350,"2013-04-28 18:26:43","2013-04-28 18:26:43"
816,350,"2013-04-28 18:26:44","2013-04-28 18:26:44"
817,350,"2013-04-28 18:26:44","2013-04-28 18:26:44"
823,350,"2013-04-28 18:26:45","2013-04-28 18:26:45"
824,350,"2013-04-28 18:26:46","2013-04-28 18:26:46"
825,350,"2013-04-28 18:26:46","2013-04-28 18:26:46"
827,350,"2013-04-28 18:26:46","2013-04-28 18:26:46"
828,350,"2013-04-28 18:26:46","2013-04-28 18:26:46"
864,350,"2013-04-28 18:27:12","2013-04-28 18:27:12"
970,350,"2013-04-28 18:27:29","2013-04-28 18:27:29"
984,350,"2013-04-28 18:27:31","2013-04-28 18:27:31"
1283,350,"2013-04-28 18:28:00","2013-04-28 18:28:00"
1284,350,"2013-04-28 18:28:01","2013-04-28 18:28:01"
1285,350,"2013-04-28 18:28:01","2013-04-28 18:28:01"
1323,350,"2013-04-28 18:28:44","2013-04-28 18:28:44"
1324,350,"2013-04-28 18:28:44","2013-04-28 18:28:44"
1325,350,"2013-04-28 18:28:44","2013-04-28 18:28:44"
1327,350,"2013-04-28 18:28:44","2013-04-28 18:28:44"
1472,350,"2013-04-28 18:29:05","2013-04-28 18:29:05"
1473,350,"2013-04-28 18:29:06","2013-04-28 18:29:06"
1679,350,"2013-04-28 18:29:36","2013-04-28 18:29:36"
1681,350,"2013-04-28 18:29:36","2013-04-28 18:29:36"
1681,350,"2013-04-28 18:29:36","2013-04-28 18:29:36"
1683,350,"2013-04-28 18:29:36","2013-04-28 18:29:36"
1685,350,"2013-04-28 18:29:37","2013-04-28 18:29:37"
1688,350,"2013-04-28 18:29:37","2013-04-28 18:29:37"
1689,350,"2013-04-28 18:29:37","2013-04-28 18:29:37"
1689,350,"2013-04-28 18:29:37","2013-04-28 18:29:37"
1689,350,"2013-04-28 18:29:37","2013-04-28 18:29:37"
1692,350,"2013-04-28 18:29:38","2013-04-28 18:29:38"
1694,350,"2013-04-28 18:29:38","2013-04-28 18:29:38"
1695,350,"2013-04-28 18:29:38","2013-04-28 18:29:38"
1696,350,"2013-04-28 18:29:38","2013-04-28 18:29:38"
1698,350,"2013-04-28 18:29:38","2013-04-28 18:29:38"
1699,350,"2013-04-28 18:29:39","2013-04-28 18:29:39"
1703,350,"2013-04-28 18:29:40","2013-04-28 18:29:40"
1704,350,"2013-04-28 18:29:40","2013-04-28 18:29:40"
1705,350,"2013-04-28 18:29:41","2013-04-28 18:29:41"
1706,350,"2013-04-28 18:29:41","2013-04-28 18:29:41"
1707,350,"2013-04-28 18:29:41","2013-04-28 18:29:41"
1708,350,"2013-04-28 18:29:41","2013-04-28 18:29:41"
1710,350,"2013-04-28 18:29:42","2013-04-28 18:29:42"
1711,350,"2013-04-28 18:29:42","2013-04-28 18:29:42"
1712,350,"2013-04-28 18:29:42","2013-04-28 18:29:42"
1715,350,"2013-04-28 18:29:43","2013-04-28 18:29:43"
1716,350,"2013-04-28 18:29:43","2013-04-28 18:29:43"
1724,350,"2013-04-28 18:29:46","2013-04-28 18:29:46"
1738,350,"2013-04-28 18:29:48","2013-04-28 18:29:48"
